Epoch: 1/20, Train Comm Cost: 114.8633, Dev Comm Cost: 116.5359
Epoch: 2/20, Train Comm Cost: 114.5628, Dev Comm Cost: 115.5757
Epoch: 3/20, Train Comm Cost: 114.4105, Dev Comm Cost: 115.5706
Epoch: 4/20, Train Comm Cost: 114.1844, Dev Comm Cost: 115.7135
Epoch: 5/20, Train Comm Cost: 113.9697, Dev Comm Cost: 115.0013
Epoch: 6/20, Train Comm Cost: 113.8663, Dev Comm Cost: 116.5375
Epoch: 7/20, Train Comm Cost: 113.6923, Dev Comm Cost: 114.8332
Epoch: 8/20, Train Comm Cost: 113.6017, Dev Comm Cost: 114.2286
Epoch: 9/20, Train Comm Cost: 113.4177, Dev Comm Cost: 114.4650
Epoch: 10/20, Train Comm Cost: 113.3113, Dev Comm Cost: 114.1770
Epoch: 11/20, Train Comm Cost: 113.1289, Dev Comm Cost: 117.3985
Epoch: 12/20, Train Comm Cost: 112.9602, Dev Comm Cost: 114.8164
Epoch: 13/20, Train Comm Cost: 112.8579, Dev Comm Cost: 114.0782
Epoch: 14/20, Train Comm Cost: 112.8206, Dev Comm Cost: 113.7865
Epoch: 15/20, Train Comm Cost: 112.6214, Dev Comm Cost: 113.7150
Epoch: 16/20, Train Comm Cost: 112.5652, Dev Comm Cost: 113.3873
Epoch: 17/20, Train Comm Cost: 112.4176, Dev Comm Cost: 113.7133
Epoch: 18/20, Train Comm Cost: 112.3107, Dev Comm Cost: 113.9259
Epoch: 19/20, Train Comm Cost: 112.2651, Dev Comm Cost: 113.6646
Epoch: 20/20, Train Comm Cost: 112.1431, Dev Comm Cost: 114.1087
