Epoch: 1/20, Train Comm Cost: 110.8715, Dev Comm Cost: 112.2346
Epoch: 2/20, Train Comm Cost: 110.8100, Dev Comm Cost: 111.8944
Epoch: 3/20, Train Comm Cost: 110.8352, Dev Comm Cost: 112.0619
Epoch: 4/20, Train Comm Cost: 110.7484, Dev Comm Cost: 112.0420
Epoch: 5/20, Train Comm Cost: 110.7289, Dev Comm Cost: 112.1797
Epoch: 6/20, Train Comm Cost: 110.7761, Dev Comm Cost: 121.9398
Epoch: 7/20, Train Comm Cost: 110.6701, Dev Comm Cost: 112.1746
Epoch: 8/20, Train Comm Cost: 110.5399, Dev Comm Cost: 111.8411
Epoch: 9/20, Train Comm Cost: 110.5009, Dev Comm Cost: 111.5866
Epoch: 10/20, Train Comm Cost: 110.8327, Dev Comm Cost: 111.5707
Epoch: 11/20, Train Comm Cost: 110.4304, Dev Comm Cost: 111.7628
Epoch: 12/20, Train Comm Cost: 110.8235, Dev Comm Cost: 111.8414
Epoch: 13/20, Train Comm Cost: 110.2900, Dev Comm Cost: 111.8014
Epoch: 14/20, Train Comm Cost: 110.3792, Dev Comm Cost: 111.4435
Epoch: 15/20, Train Comm Cost: 110.3129, Dev Comm Cost: 111.6455
Epoch: 16/20, Train Comm Cost: 110.2214, Dev Comm Cost: 111.4402
Epoch: 17/20, Train Comm Cost: 110.8421, Dev Comm Cost: 111.1979
Epoch: 18/20, Train Comm Cost: 110.1780, Dev Comm Cost: 112.1587
Epoch: 19/20, Train Comm Cost: 110.2193, Dev Comm Cost: 111.4776
Epoch: 20/20, Train Comm Cost: 110.0901, Dev Comm Cost: 111.7454
