Epoch: 1/20, Train Comm Cost: 129.7656, Dev Comm Cost: 133.3111
Epoch: 2/20, Train Comm Cost: 128.0259, Dev Comm Cost: 128.9652
Epoch: 3/20, Train Comm Cost: 125.4415, Dev Comm Cost: 130.4260
Epoch: 4/20, Train Comm Cost: 122.8377, Dev Comm Cost: 123.8062
Epoch: 5/20, Train Comm Cost: 120.8459, Dev Comm Cost: 128.3332
Epoch: 6/20, Train Comm Cost: 119.3238, Dev Comm Cost: 121.3503
Epoch: 7/20, Train Comm Cost: 117.5804, Dev Comm Cost: 118.9822
Epoch: 8/20, Train Comm Cost: 116.0571, Dev Comm Cost: 115.9947
Epoch: 9/20, Train Comm Cost: 115.3265, Dev Comm Cost: 115.3771
Epoch: 10/20, Train Comm Cost: 115.0465, Dev Comm Cost: 114.8539
Epoch: 11/20, Train Comm Cost: 114.9949, Dev Comm Cost: 133.1752
Epoch: 12/20, Train Comm Cost: 115.4045, Dev Comm Cost: 114.9095
Epoch: 13/20, Train Comm Cost: 115.1807, Dev Comm Cost: 114.8746
Epoch: 14/20, Train Comm Cost: 117.4280, Dev Comm Cost: 134.2092
Epoch: 15/20, Train Comm Cost: 131.1969, Dev Comm Cost: 123.0484
Epoch: 16/20, Train Comm Cost: 120.6801, Dev Comm Cost: 122.3391
Epoch: 17/20, Train Comm Cost: 125.4377, Dev Comm Cost: 135.6920
Epoch: 18/20, Train Comm Cost: 118.5705, Dev Comm Cost: 126.0011
Epoch: 19/20, Train Comm Cost: 118.0123, Dev Comm Cost: 151.2201
Epoch: 20/20, Train Comm Cost: 118.7792, Dev Comm Cost: 121.5767
