Epoch: 1/20, Train Comm Cost: 194.3573, Dev Comm Cost: 188.5633
Epoch: 2/20, Train Comm Cost: 181.4932, Dev Comm Cost: 189.9504
Epoch: 3/20, Train Comm Cost: 179.3635, Dev Comm Cost: 181.1819
Epoch: 4/20, Train Comm Cost: 177.1593, Dev Comm Cost: 178.7092
Epoch: 5/20, Train Comm Cost: 175.4660, Dev Comm Cost: 188.9312
Epoch: 6/20, Train Comm Cost: 173.4343, Dev Comm Cost: 175.0082
Epoch: 7/20, Train Comm Cost: 172.1147, Dev Comm Cost: 174.9264
Epoch: 8/20, Train Comm Cost: 171.0373, Dev Comm Cost: 174.2002
Epoch: 9/20, Train Comm Cost: 170.3298, Dev Comm Cost: 174.8546
Epoch: 10/20, Train Comm Cost: 169.2486, Dev Comm Cost: 172.7388
Epoch: 11/20, Train Comm Cost: 167.8160, Dev Comm Cost: 170.6526
Epoch: 12/20, Train Comm Cost: 166.9594, Dev Comm Cost: 170.4747
Epoch: 13/20, Train Comm Cost: 165.8927, Dev Comm Cost: 168.1820
Epoch: 14/20, Train Comm Cost: 167.5355, Dev Comm Cost: 169.6325
Epoch: 15/20, Train Comm Cost: 165.5164, Dev Comm Cost: 167.4986
Epoch: 16/20, Train Comm Cost: 166.0228, Dev Comm Cost: 170.4392
Epoch: 17/20, Train Comm Cost: 164.9371, Dev Comm Cost: 166.5693
Epoch: 18/20, Train Comm Cost: 164.8095, Dev Comm Cost: 165.2128
Epoch: 19/20, Train Comm Cost: 163.7221, Dev Comm Cost: 169.2574
Epoch: 20/20, Train Comm Cost: 163.6028, Dev Comm Cost: 164.3602
