Epoch: 1/20, Train Comm Cost: 175.3354, Dev Comm Cost: 171.1000
Epoch: 2/20, Train Comm Cost: 174.8994, Dev Comm Cost: 170.4254
Epoch: 3/20, Train Comm Cost: 175.0769, Dev Comm Cost: 171.8369
Epoch: 4/20, Train Comm Cost: 174.9476, Dev Comm Cost: 169.6483
Epoch: 5/20, Train Comm Cost: 174.0259, Dev Comm Cost: 170.2433
Epoch: 6/20, Train Comm Cost: 173.1109, Dev Comm Cost: 167.6884
Epoch: 7/20, Train Comm Cost: 171.6184, Dev Comm Cost: 164.6697
Epoch: 8/20, Train Comm Cost: 167.8023, Dev Comm Cost: 161.0225
Epoch: 9/20, Train Comm Cost: 165.4141, Dev Comm Cost: 161.7076
Epoch: 10/20, Train Comm Cost: 164.0947, Dev Comm Cost: 156.9736
Epoch: 11/20, Train Comm Cost: 162.2108, Dev Comm Cost: 156.7527
Epoch: 12/20, Train Comm Cost: 161.0126, Dev Comm Cost: 156.0674
Epoch: 13/20, Train Comm Cost: 160.2634, Dev Comm Cost: 154.2891
Epoch: 14/20, Train Comm Cost: 159.3016, Dev Comm Cost: 155.5474
Epoch: 15/20, Train Comm Cost: 158.9757, Dev Comm Cost: 161.2735
Epoch: 16/20, Train Comm Cost: 158.8900, Dev Comm Cost: 161.1189
Epoch: 17/20, Train Comm Cost: 158.8387, Dev Comm Cost: 152.9824
Epoch: 18/20, Train Comm Cost: 158.3262, Dev Comm Cost: 154.5207
Epoch: 19/20, Train Comm Cost: 157.3300, Dev Comm Cost: 152.3960
Epoch: 20/20, Train Comm Cost: 157.3899, Dev Comm Cost: 153.7636
