Epoch: 1/20, Train Comm Cost: 116.2696, Dev Comm Cost: 129.5908
Epoch: 2/20, Train Comm Cost: 118.8028, Dev Comm Cost: 143.0241
Epoch: 3/20, Train Comm Cost: 118.5125, Dev Comm Cost: 115.5529
Epoch: 4/20, Train Comm Cost: 117.2794, Dev Comm Cost: 113.6411
Epoch: 5/20, Train Comm Cost: 116.5099, Dev Comm Cost: 114.4413
Epoch: 6/20, Train Comm Cost: 115.8059, Dev Comm Cost: 112.4771
Epoch: 7/20, Train Comm Cost: 113.7798, Dev Comm Cost: 115.0223
Epoch: 8/20, Train Comm Cost: 113.5842, Dev Comm Cost: 111.8652
Epoch: 9/20, Train Comm Cost: 115.4462, Dev Comm Cost: 119.1168
Epoch: 10/20, Train Comm Cost: 114.5033, Dev Comm Cost: 112.3580
Epoch: 11/20, Train Comm Cost: 112.0370, Dev Comm Cost: 119.8113
Epoch: 12/20, Train Comm Cost: 112.4628, Dev Comm Cost: 115.0449
Epoch: 13/20, Train Comm Cost: 112.9093, Dev Comm Cost: 112.0322
Epoch: 14/20, Train Comm Cost: 113.0665, Dev Comm Cost: 111.2454
Epoch: 15/20, Train Comm Cost: 111.6334, Dev Comm Cost: 111.4888
Epoch: 16/20, Train Comm Cost: 112.4057, Dev Comm Cost: 110.7355
Epoch: 17/20, Train Comm Cost: 110.5561, Dev Comm Cost: 115.8623
Epoch: 18/20, Train Comm Cost: 112.6802, Dev Comm Cost: 148.1909
Epoch: 19/20, Train Comm Cost: 111.1849, Dev Comm Cost: 110.5293
Epoch: 20/20, Train Comm Cost: 112.9518, Dev Comm Cost: 121.2330
