Epoch: 1/20, Train Comm Cost: 182.6592, Dev Comm Cost: 178.6906
Epoch: 2/20, Train Comm Cost: 170.2615, Dev Comm Cost: 176.1403
Epoch: 3/20, Train Comm Cost: 169.0123, Dev Comm Cost: 176.1599
Epoch: 4/20, Train Comm Cost: 167.9015, Dev Comm Cost: 174.2823
Epoch: 5/20, Train Comm Cost: 166.8665, Dev Comm Cost: 172.6080
Epoch: 6/20, Train Comm Cost: 165.5519, Dev Comm Cost: 171.5030
Epoch: 7/20, Train Comm Cost: 164.1470, Dev Comm Cost: 170.1931
Epoch: 8/20, Train Comm Cost: 162.5732, Dev Comm Cost: 168.3870
Epoch: 9/20, Train Comm Cost: 161.1447, Dev Comm Cost: 167.3650
Epoch: 10/20, Train Comm Cost: 158.5870, Dev Comm Cost: 162.1035
Epoch: 11/20, Train Comm Cost: 152.2468, Dev Comm Cost: 157.6777
Epoch: 12/20, Train Comm Cost: 148.4787, Dev Comm Cost: 153.3749
Epoch: 13/20, Train Comm Cost: 146.5970, Dev Comm Cost: 150.9065
Epoch: 14/20, Train Comm Cost: 145.7512, Dev Comm Cost: 152.1166
Epoch: 15/20, Train Comm Cost: 143.9430, Dev Comm Cost: 150.5529
Epoch: 16/20, Train Comm Cost: 142.6932, Dev Comm Cost: 150.7414
Epoch: 17/20, Train Comm Cost: 140.3091, Dev Comm Cost: 146.1271
Epoch: 18/20, Train Comm Cost: 136.9487, Dev Comm Cost: 145.0040
Epoch: 19/20, Train Comm Cost: 133.8638, Dev Comm Cost: 134.8026
Epoch: 20/20, Train Comm Cost: 131.4600, Dev Comm Cost: 133.7081
