Epoch: 1/20, Train Comm Cost: 209.3943, Dev Comm Cost: 178.3862
Epoch: 2/20, Train Comm Cost: 186.9920, Dev Comm Cost: 177.8142
Epoch: 3/20, Train Comm Cost: 183.6718, Dev Comm Cost: 181.3433
Epoch: 4/20, Train Comm Cost: 183.1734, Dev Comm Cost: 178.6362
Epoch: 5/20, Train Comm Cost: 181.6765, Dev Comm Cost: 178.9206
Epoch: 6/20, Train Comm Cost: 181.7600, Dev Comm Cost: 178.4729
Epoch: 7/20, Train Comm Cost: 180.2211, Dev Comm Cost: 175.9493
Epoch: 8/20, Train Comm Cost: 179.6109, Dev Comm Cost: 177.1665
Epoch: 9/20, Train Comm Cost: 179.8277, Dev Comm Cost: 176.3225
Epoch: 10/20, Train Comm Cost: 179.2846, Dev Comm Cost: 176.4100
Epoch: 11/20, Train Comm Cost: 179.0490, Dev Comm Cost: 177.4716
Epoch: 12/20, Train Comm Cost: 178.5696, Dev Comm Cost: 174.7546
Epoch: 13/20, Train Comm Cost: 178.3197, Dev Comm Cost: 175.1330
Epoch: 14/20, Train Comm Cost: 177.8863, Dev Comm Cost: 174.6206
Epoch: 15/20, Train Comm Cost: 177.4427, Dev Comm Cost: 173.3954
Epoch: 16/20, Train Comm Cost: 176.9751, Dev Comm Cost: 173.2806
Epoch: 17/20, Train Comm Cost: 177.0038, Dev Comm Cost: 173.1028
Epoch: 18/20, Train Comm Cost: 176.2652, Dev Comm Cost: 172.4305
Epoch: 19/20, Train Comm Cost: 176.4352, Dev Comm Cost: 172.2726
Epoch: 20/20, Train Comm Cost: 175.9303, Dev Comm Cost: 171.8699
