Epoch: 1/20, Train Comm Cost: 190.0711, Dev Comm Cost: 180.4739
Epoch: 2/20, Train Comm Cost: 175.3680, Dev Comm Cost: 179.7339
Epoch: 3/20, Train Comm Cost: 174.3679, Dev Comm Cost: 177.7285
Epoch: 4/20, Train Comm Cost: 173.9862, Dev Comm Cost: 176.8639
Epoch: 5/20, Train Comm Cost: 173.5074, Dev Comm Cost: 177.3079
Epoch: 6/20, Train Comm Cost: 171.7451, Dev Comm Cost: 173.9012
Epoch: 7/20, Train Comm Cost: 169.7670, Dev Comm Cost: 171.4393
Epoch: 8/20, Train Comm Cost: 167.5483, Dev Comm Cost: 168.8906
Epoch: 9/20, Train Comm Cost: 165.8579, Dev Comm Cost: 167.8616
Epoch: 10/20, Train Comm Cost: 163.9954, Dev Comm Cost: 166.7049
Epoch: 11/20, Train Comm Cost: 162.2994, Dev Comm Cost: 164.7676
Epoch: 12/20, Train Comm Cost: 160.8561, Dev Comm Cost: 163.1292
Epoch: 13/20, Train Comm Cost: 159.4680, Dev Comm Cost: 162.2474
Epoch: 14/20, Train Comm Cost: 157.9326, Dev Comm Cost: 160.4864
Epoch: 15/20, Train Comm Cost: 156.3607, Dev Comm Cost: 158.2071
Epoch: 16/20, Train Comm Cost: 154.9217, Dev Comm Cost: 156.9006
Epoch: 17/20, Train Comm Cost: 153.1377, Dev Comm Cost: 154.6546
Epoch: 18/20, Train Comm Cost: 150.7778, Dev Comm Cost: 151.8560
Epoch: 19/20, Train Comm Cost: 148.3458, Dev Comm Cost: 150.1985
Epoch: 20/20, Train Comm Cost: 146.3377, Dev Comm Cost: 148.6794
