Epoch: 1/40, Train Comm Cost: 194.4526, Dev Comm Cost: 193.3698
Epoch: 2/40, Train Comm Cost: 182.9153, Dev Comm Cost: 189.6723
Epoch: 3/40, Train Comm Cost: 179.9475, Dev Comm Cost: 181.4014
Epoch: 4/40, Train Comm Cost: 176.8874, Dev Comm Cost: 185.0025
Epoch: 5/40, Train Comm Cost: 174.1158, Dev Comm Cost: 177.8416
Epoch: 6/40, Train Comm Cost: 172.7595, Dev Comm Cost: 176.7554
Epoch: 7/40, Train Comm Cost: 171.7725, Dev Comm Cost: 173.3248
Epoch: 8/40, Train Comm Cost: 170.1365, Dev Comm Cost: 172.8122
Epoch: 9/40, Train Comm Cost: 168.3537, Dev Comm Cost: 172.7852
Epoch: 10/40, Train Comm Cost: 167.2973, Dev Comm Cost: 168.7251
Epoch: 11/40, Train Comm Cost: 166.0323, Dev Comm Cost: 169.1473
Epoch: 12/40, Train Comm Cost: 164.8216, Dev Comm Cost: 167.5834
Epoch: 13/40, Train Comm Cost: 163.9721, Dev Comm Cost: 166.7794
Epoch: 14/40, Train Comm Cost: 163.5836, Dev Comm Cost: 166.7451
Epoch: 15/40, Train Comm Cost: 163.3803, Dev Comm Cost: 166.1476
Epoch: 16/40, Train Comm Cost: 162.0753, Dev Comm Cost: 165.5242
Epoch: 17/40, Train Comm Cost: 161.4091, Dev Comm Cost: 165.1852
Epoch: 18/40, Train Comm Cost: 160.9040, Dev Comm Cost: 165.8989
Epoch: 19/40, Train Comm Cost: 160.3525, Dev Comm Cost: 162.6623
Epoch: 20/40, Train Comm Cost: 159.6469, Dev Comm Cost: 163.3433
Epoch: 21/40, Train Comm Cost: 159.1527, Dev Comm Cost: 161.7729
Epoch: 22/40, Train Comm Cost: 158.9171, Dev Comm Cost: 161.5058
Epoch: 23/40, Train Comm Cost: 158.3721, Dev Comm Cost: 161.6221
Epoch: 24/40, Train Comm Cost: 158.3867, Dev Comm Cost: 163.4693
Epoch: 25/40, Train Comm Cost: 158.1992, Dev Comm Cost: 162.7586
Epoch: 26/40, Train Comm Cost: 158.1644, Dev Comm Cost: 163.5023
Epoch: 27/40, Train Comm Cost: 158.2619, Dev Comm Cost: 160.7854
Epoch: 28/40, Train Comm Cost: 157.1188, Dev Comm Cost: 161.1712
Epoch: 29/40, Train Comm Cost: 157.5217, Dev Comm Cost: 161.1789
Epoch: 30/40, Train Comm Cost: 157.2287, Dev Comm Cost: 160.6749
Epoch: 31/40, Train Comm Cost: 157.0912, Dev Comm Cost: 161.2274
Epoch: 32/40, Train Comm Cost: 156.5947, Dev Comm Cost: 160.1181
Epoch: 33/40, Train Comm Cost: 156.8120, Dev Comm Cost: 160.0528
Epoch: 34/40, Train Comm Cost: 156.5253, Dev Comm Cost: 161.9116
Epoch: 35/40, Train Comm Cost: 156.4923, Dev Comm Cost: 158.8754
Epoch: 36/40, Train Comm Cost: 156.2085, Dev Comm Cost: 159.6082
Epoch: 37/40, Train Comm Cost: 156.4557, Dev Comm Cost: 159.6401
Epoch: 38/40, Train Comm Cost: 156.3934, Dev Comm Cost: 159.2024
Epoch: 39/40, Train Comm Cost: 156.0947, Dev Comm Cost: 160.7355
Epoch: 40/40, Train Comm Cost: 156.8993, Dev Comm Cost: 160.6083
