Epoch: 1/40, Train Comm Cost: 194.0644, Dev Comm Cost: 192.7030
Epoch: 2/40, Train Comm Cost: 181.6080, Dev Comm Cost: 186.5305
Epoch: 3/40, Train Comm Cost: 179.3669, Dev Comm Cost: 184.5131
Epoch: 4/40, Train Comm Cost: 176.7876, Dev Comm Cost: 179.6607
Epoch: 5/40, Train Comm Cost: 174.1537, Dev Comm Cost: 177.1995
Epoch: 6/40, Train Comm Cost: 172.4543, Dev Comm Cost: 175.8745
Epoch: 7/40, Train Comm Cost: 170.7064, Dev Comm Cost: 173.0744
Epoch: 8/40, Train Comm Cost: 169.6358, Dev Comm Cost: 171.5441
Epoch: 9/40, Train Comm Cost: 168.7289, Dev Comm Cost: 169.4734
Epoch: 10/40, Train Comm Cost: 167.4816, Dev Comm Cost: 168.8328
Epoch: 11/40, Train Comm Cost: 167.3526, Dev Comm Cost: 172.1954
Epoch: 12/40, Train Comm Cost: 165.9031, Dev Comm Cost: 167.3296
Epoch: 13/40, Train Comm Cost: 165.2384, Dev Comm Cost: 167.2212
Epoch: 14/40, Train Comm Cost: 164.2108, Dev Comm Cost: 165.7304
Epoch: 15/40, Train Comm Cost: 163.1846, Dev Comm Cost: 169.3456
Epoch: 16/40, Train Comm Cost: 162.5019, Dev Comm Cost: 166.5185
Epoch: 17/40, Train Comm Cost: 162.4825, Dev Comm Cost: 165.7325
Epoch: 18/40, Train Comm Cost: 161.6100, Dev Comm Cost: 163.6144
Epoch: 19/40, Train Comm Cost: 161.5247, Dev Comm Cost: 163.3382
Epoch: 20/40, Train Comm Cost: 160.7849, Dev Comm Cost: 163.2244
Epoch: 21/40, Train Comm Cost: 160.0028, Dev Comm Cost: 162.6104
Epoch: 22/40, Train Comm Cost: 160.7627, Dev Comm Cost: 163.4359
Epoch: 23/40, Train Comm Cost: 160.6535, Dev Comm Cost: 162.7360
Epoch: 24/40, Train Comm Cost: 159.2586, Dev Comm Cost: 162.3118
Epoch: 25/40, Train Comm Cost: 159.7573, Dev Comm Cost: 163.3403
Epoch: 26/40, Train Comm Cost: 159.0851, Dev Comm Cost: 161.1064
Epoch: 27/40, Train Comm Cost: 158.9928, Dev Comm Cost: 166.6295
Epoch: 28/40, Train Comm Cost: 158.4489, Dev Comm Cost: 161.2132
Epoch: 29/40, Train Comm Cost: 158.0401, Dev Comm Cost: 161.7990
Epoch: 30/40, Train Comm Cost: 157.9953, Dev Comm Cost: 160.0616
Epoch: 31/40, Train Comm Cost: 158.3004, Dev Comm Cost: 160.5455
Epoch: 32/40, Train Comm Cost: 157.3843, Dev Comm Cost: 161.9995
Epoch: 33/40, Train Comm Cost: 157.6383, Dev Comm Cost: 161.3994
Epoch: 34/40, Train Comm Cost: 157.0872, Dev Comm Cost: 161.2893
Epoch: 35/40, Train Comm Cost: 156.1276, Dev Comm Cost: 160.4228
Epoch: 36/40, Train Comm Cost: 156.0826, Dev Comm Cost: 160.8482
Epoch: 37/40, Train Comm Cost: 156.8488, Dev Comm Cost: 158.7657
Epoch: 38/40, Train Comm Cost: 159.0304, Dev Comm Cost: 161.8060
Epoch: 39/40, Train Comm Cost: 156.9260, Dev Comm Cost: 160.3398
Epoch: 40/40, Train Comm Cost: 155.8157, Dev Comm Cost: 157.6701
