Epoch: 1/60, Train Comm Cost: 156.5313, Dev Comm Cost: 157.4203
Epoch: 2/60, Train Comm Cost: 156.2019, Dev Comm Cost: 150.2502
Epoch: 3/60, Train Comm Cost: 156.3952, Dev Comm Cost: 151.4820
Epoch: 4/60, Train Comm Cost: 156.4628, Dev Comm Cost: 150.1373
Epoch: 5/60, Train Comm Cost: 155.6157, Dev Comm Cost: 153.2416
Epoch: 6/60, Train Comm Cost: 154.8195, Dev Comm Cost: 148.7896
Epoch: 7/60, Train Comm Cost: 153.3688, Dev Comm Cost: 155.1471
Epoch: 8/60, Train Comm Cost: 153.5702, Dev Comm Cost: 151.6472
Epoch: 9/60, Train Comm Cost: 152.4854, Dev Comm Cost: 154.2707
Epoch: 10/60, Train Comm Cost: 153.1383, Dev Comm Cost: 145.7744
Epoch: 11/60, Train Comm Cost: 152.0583, Dev Comm Cost: 149.7254
Epoch: 12/60, Train Comm Cost: 152.2347, Dev Comm Cost: 147.1453
Epoch: 13/60, Train Comm Cost: 151.2578, Dev Comm Cost: 144.4685
Epoch: 14/60, Train Comm Cost: 151.3713, Dev Comm Cost: 147.3476
Epoch: 15/60, Train Comm Cost: 151.0669, Dev Comm Cost: 149.3048
Epoch: 16/60, Train Comm Cost: 150.0464, Dev Comm Cost: 151.3851
Epoch: 17/60, Train Comm Cost: 150.8169, Dev Comm Cost: 143.0107
Epoch: 18/60, Train Comm Cost: 149.2006, Dev Comm Cost: 143.1320
Epoch: 19/60, Train Comm Cost: 149.0483, Dev Comm Cost: 141.7333
Epoch: 20/60, Train Comm Cost: 148.8802, Dev Comm Cost: 151.0815
Epoch: 21/60, Train Comm Cost: 148.3894, Dev Comm Cost: 148.9028
Epoch: 22/60, Train Comm Cost: 147.9996, Dev Comm Cost: 150.6917
Epoch: 23/60, Train Comm Cost: 147.5209, Dev Comm Cost: 141.8267
Epoch: 24/60, Train Comm Cost: 147.0494, Dev Comm Cost: 142.2557
Epoch: 25/60, Train Comm Cost: 146.1139, Dev Comm Cost: 141.8911
Epoch: 26/60, Train Comm Cost: 144.9220, Dev Comm Cost: 141.3367
Epoch: 27/60, Train Comm Cost: 143.6466, Dev Comm Cost: 135.9875
Epoch: 28/60, Train Comm Cost: 141.3190, Dev Comm Cost: 136.3710
Epoch: 29/60, Train Comm Cost: 140.1220, Dev Comm Cost: 135.7583
Epoch: 30/60, Train Comm Cost: 138.8874, Dev Comm Cost: 131.8876
Epoch: 31/60, Train Comm Cost: 136.8292, Dev Comm Cost: 137.8617
Epoch: 32/60, Train Comm Cost: 133.4729, Dev Comm Cost: 135.1134
Epoch: 33/60, Train Comm Cost: 130.7671, Dev Comm Cost: 124.6105
Epoch: 34/60, Train Comm Cost: 128.6443, Dev Comm Cost: 123.7016
Epoch: 35/60, Train Comm Cost: 127.2360, Dev Comm Cost: 122.8125
Epoch: 36/60, Train Comm Cost: 125.9328, Dev Comm Cost: 128.1201
Epoch: 37/60, Train Comm Cost: 126.0544, Dev Comm Cost: 119.9462
Epoch: 38/60, Train Comm Cost: 124.4519, Dev Comm Cost: 121.5018
Epoch: 39/60, Train Comm Cost: 124.4491, Dev Comm Cost: 120.5847
Epoch: 40/60, Train Comm Cost: 124.5780, Dev Comm Cost: 120.8715
Epoch: 41/60, Train Comm Cost: 124.1418, Dev Comm Cost: 118.9622
Epoch: 42/60, Train Comm Cost: 122.8616, Dev Comm Cost: 118.0496
Epoch: 43/60, Train Comm Cost: 122.5016, Dev Comm Cost: 118.1176
Epoch: 44/60, Train Comm Cost: 122.6644, Dev Comm Cost: 118.1540
Epoch: 45/60, Train Comm Cost: 122.1044, Dev Comm Cost: 120.2140
Epoch: 46/60, Train Comm Cost: 121.5765, Dev Comm Cost: 125.5399
Epoch: 47/60, Train Comm Cost: 122.7126, Dev Comm Cost: 116.9090
Epoch: 48/60, Train Comm Cost: 121.1436, Dev Comm Cost: 116.0691
Epoch: 49/60, Train Comm Cost: 120.2378, Dev Comm Cost: 115.8236
Epoch: 50/60, Train Comm Cost: 120.0783, Dev Comm Cost: 120.6887
Epoch: 51/60, Train Comm Cost: 121.6014, Dev Comm Cost: 121.5218
Epoch: 52/60, Train Comm Cost: 120.0313, Dev Comm Cost: 115.4059
Epoch: 53/60, Train Comm Cost: 119.1562, Dev Comm Cost: 120.1082
Epoch: 54/60, Train Comm Cost: 118.4510, Dev Comm Cost: 116.0501
Epoch: 55/60, Train Comm Cost: 120.4515, Dev Comm Cost: 114.7978
Epoch: 56/60, Train Comm Cost: 118.6496, Dev Comm Cost: 115.6894
Epoch: 57/60, Train Comm Cost: 120.7782, Dev Comm Cost: 120.5466
Epoch: 58/60, Train Comm Cost: 118.2575, Dev Comm Cost: 114.7598
Epoch: 59/60, Train Comm Cost: 117.8803, Dev Comm Cost: 114.3430
Epoch: 60/60, Train Comm Cost: 118.0186, Dev Comm Cost: 114.2308
