Epoch: 1/20, Train Comm Cost: 112.0053, Dev Comm Cost: 113.7446
Epoch: 2/20, Train Comm Cost: 112.0679, Dev Comm Cost: 113.3861
Epoch: 3/20, Train Comm Cost: 111.8747, Dev Comm Cost: 113.0800
Epoch: 4/20, Train Comm Cost: 111.8069, Dev Comm Cost: 112.9987
Epoch: 5/20, Train Comm Cost: 111.7712, Dev Comm Cost: 113.3007
Epoch: 6/20, Train Comm Cost: 111.7405, Dev Comm Cost: 112.9205
Epoch: 7/20, Train Comm Cost: 111.6108, Dev Comm Cost: 112.8528
Epoch: 8/20, Train Comm Cost: 111.5802, Dev Comm Cost: 112.4092
Epoch: 9/20, Train Comm Cost: 111.4926, Dev Comm Cost: 113.0260
Epoch: 10/20, Train Comm Cost: 111.4360, Dev Comm Cost: 112.6384
Epoch: 11/20, Train Comm Cost: 111.4435, Dev Comm Cost: 112.7368
Epoch: 12/20, Train Comm Cost: 111.2656, Dev Comm Cost: 113.2054
Epoch: 13/20, Train Comm Cost: 111.2361, Dev Comm Cost: 112.3850
Epoch: 14/20, Train Comm Cost: 111.2283, Dev Comm Cost: 112.3501
Epoch: 15/20, Train Comm Cost: 111.2310, Dev Comm Cost: 112.5257
Epoch: 16/20, Train Comm Cost: 111.1360, Dev Comm Cost: 112.2310
Epoch: 17/20, Train Comm Cost: 111.1258, Dev Comm Cost: 113.5712
Epoch: 18/20, Train Comm Cost: 111.3630, Dev Comm Cost: 113.0349
Epoch: 19/20, Train Comm Cost: 111.4622, Dev Comm Cost: 112.1120
Epoch: 20/20, Train Comm Cost: 110.9390, Dev Comm Cost: 112.8573
