Epoch: 1/40, Train Comm Cost: 113.1950, Dev Comm Cost: 125.2485
Epoch: 2/40, Train Comm Cost: 116.0192, Dev Comm Cost: 110.6717
Epoch: 3/40, Train Comm Cost: 112.1672, Dev Comm Cost: 111.0350
Epoch: 4/40, Train Comm Cost: 110.6235, Dev Comm Cost: 109.7309
Epoch: 5/40, Train Comm Cost: 111.6323, Dev Comm Cost: 127.3896
Epoch: 6/40, Train Comm Cost: 112.9048, Dev Comm Cost: 110.0168
Epoch: 7/40, Train Comm Cost: 114.5157, Dev Comm Cost: 110.0106
Epoch: 8/40, Train Comm Cost: 113.5470, Dev Comm Cost: 141.5310
Epoch: 9/40, Train Comm Cost: 120.4816, Dev Comm Cost: 110.5820
Epoch: 10/40, Train Comm Cost: 120.8688, Dev Comm Cost: 135.4374
Epoch: 11/40, Train Comm Cost: 112.8269, Dev Comm Cost: 109.8601
Epoch: 12/40, Train Comm Cost: 110.4994, Dev Comm Cost: 111.1962
Epoch: 13/40, Train Comm Cost: 109.8277, Dev Comm Cost: 112.3748
Epoch: 14/40, Train Comm Cost: 109.2612, Dev Comm Cost: 110.1588
Epoch: 15/40, Train Comm Cost: 108.4219, Dev Comm Cost: 109.1902
Epoch: 16/40, Train Comm Cost: 109.2330, Dev Comm Cost: 109.9507
Epoch: 17/40, Train Comm Cost: 108.9168, Dev Comm Cost: 110.9441
Epoch: 18/40, Train Comm Cost: 109.9254, Dev Comm Cost: 114.4265
Epoch: 19/40, Train Comm Cost: 108.5791, Dev Comm Cost: 109.2688
Epoch: 20/40, Train Comm Cost: 109.5693, Dev Comm Cost: 109.1502
Epoch: 21/40, Train Comm Cost: 109.3891, Dev Comm Cost: 109.3215
Epoch: 22/40, Train Comm Cost: 111.9336, Dev Comm Cost: 108.7251
Epoch: 23/40, Train Comm Cost: 110.9770, Dev Comm Cost: 123.4284
Epoch: 24/40, Train Comm Cost: 108.7116, Dev Comm Cost: 108.3374
Epoch: 25/40, Train Comm Cost: 108.5947, Dev Comm Cost: 112.0831
Epoch: 26/40, Train Comm Cost: 109.2055, Dev Comm Cost: 108.6185
Epoch: 27/40, Train Comm Cost: 111.2855, Dev Comm Cost: 108.4259
Epoch: 28/40, Train Comm Cost: 108.9805, Dev Comm Cost: 108.8844
Epoch: 29/40, Train Comm Cost: 108.2308, Dev Comm Cost: 111.7148
Epoch: 30/40, Train Comm Cost: 108.8810, Dev Comm Cost: 114.0575
Epoch: 31/40, Train Comm Cost: 107.7640, Dev Comm Cost: 109.3141
Epoch: 32/40, Train Comm Cost: 112.2309, Dev Comm Cost: 108.0003
Epoch: 33/40, Train Comm Cost: 111.8777, Dev Comm Cost: 108.2282
Epoch: 34/40, Train Comm Cost: 107.7675, Dev Comm Cost: 107.9551
Epoch: 35/40, Train Comm Cost: 108.8344, Dev Comm Cost: 108.7682
Epoch: 36/40, Train Comm Cost: 107.4454, Dev Comm Cost: 108.2040
Epoch: 37/40, Train Comm Cost: 108.4572, Dev Comm Cost: 144.4691
Epoch: 38/40, Train Comm Cost: 111.7270, Dev Comm Cost: 107.9565
Epoch: 39/40, Train Comm Cost: 109.8217, Dev Comm Cost: 107.9645
Epoch: 40/40, Train Comm Cost: 108.7856, Dev Comm Cost: 114.4012
